Timestamp,Distance (cm),IR Status,Temperature
2025-06-17 12:47:42,383.42,"No ObjeDistance: 383.42 cm, IR: No ObjeDistance: 383.42 cm, IR: No ObjeDistance: 383.42 cm, IR: No Object",25.31
2025-06-17 12:47:42,385.17,No Object,25.31
2025-06-17 12:47:43,288.51,No Object,25.31
2025-06-17 12:47:43,287.71,No Object,25.22
2025-06-17 12:47:44,789.33,No Object,25.31
2025-06-17 12:47:44,288.1,No Object,25.31
2025-06-17 12:47:45,383.76,No Object,25.31
2025-06-17 12:47:45,288.47,No Object,25.22
2025-06-17 12:47:46,382.06,No Object,25.22
2025-06-17 12:47:46,289.0,No Object,25.31
2025-06-17 12:47:47,288.9,No Object,25.22
2025-06-17 12:47:47,288.05,No Object,25.22
2025-06-17 12:47:48,288.47,No Object,25.22
2025-06-17 12:47:48,288.18,Object Detected,25.31
2025-06-17 12:47:49,287.67,Object Detected,25.22
2025-06-17 12:47:49,382.87,No Object,25.31
2025-06-17 12:47:50,288.54,No Object,25.31
2025-06-17 12:47:50,382.08,Object Detected,25.31
2025-06-17 12:47:51,382.48,Object Detected,25.31
2025-06-17 12:47:52,382.55,Object Detected,25.31
2025-06-17 12:47:52,382.09,Object Detected,25.31
2025-06-17 12:47:53,382.48,Object Detected,25.31
2025-06-17 12:47:53,382.81,Object Detected,25.31
2025-06-17 12:47:54,289.02,Object Detected,25.31
2025-06-17 12:47:54,288.52,No Object,25.31
2025-06-17 12:47:55,384.27,No Object,25.31
2025-06-17 12:47:55,288.58,No Object,25.4
2025-06-17 12:47:56,288.2,No Object,25.66
2025-06-17 12:47:56,789.4,No Object,26.99
2025-06-17 12:47:57,789.29,No Object,26.99
2025-06-17 12:47:57,289.44,No Object,27.44
2025-06-17 12:47:58,789.41,No Object,27.98
2025-06-17 12:47:58,288.58,No Object,28.16
2025-06-17 12:47:59,288.13,No Object,28.61
2025-06-17 12:47:59,385.17,No Object,28.98
2025-06-17 12:48:00,288.54,No Object,29.34
2025-06-17 12:48:01,289.12,No Object,29.43
2025-06-17 12:48:01,288.56,No Object,29.8
2025-06-17 12:48:02,382.98,No Object,29.89
2025-06-17 12:48:02,383.38,No Object,30.08
2025-06-17 12:48:03,383.42,No Object,30.26
2025-06-17 12:48:03,382.81,No Object,30.45
2025-06-17 12:48:04,384.66,No Object,30.54
2025-06-17 12:48:04,385.08,Object Detected,30.54
2025-06-17 12:48:05,4.22,No Object,30.45
2025-06-17 12:48:05,13.02,No Object,30.35
2025-06-17 12:48:06,2.3,Object Detected,30.26
2025-06-17 12:48:06,6.14,No Object,30.08
2025-06-17 12:48:07,789.34,No Object,29.99
2025-06-17 12:48:07,3.89,Object Detected,29.89
2025-06-17 12:48:08,9.64,Object Detected,29.8
2025-06-17 12:48:08,6.14,Object Detected,29.62
2025-06-17 12:48:09,10.42,No Object,29.62
2025-06-17 12:48:09,2.52,Object Detected,29.43
2025-06-17 12:48:10,789.46,Object Detected,29.34
2025-06-17 12:48:10,789.45,Object Detected,29.25
2025-06-17 12:48:11,8.38,No Object,29.16
2025-06-17 12:48:11,789.38,Object Detected,29.07
2025-06-17 12:48:12,350.95,Object Detected,28.98
2025-06-17 12:48:13,4.22,Object Detected,28.89
2025-06-17 12:48:13,8.64,No Object,28.89
2025-06-17 12:48:14,4.54,Object Detected,28.8
2025-06-17 12:48:14,6.46,Object Detected,28.71
2025-06-17 12:48:15,8.28,Object Detected,28.61
2025-06-17 12:48:15,10.42,No Object,28.52
2025-06-17 12:48:16,9.66,Object Detected,28.43
2025-06-17 12:48:16,789.45,Object Detected,28.34
2025-06-17 12:48:17,2.84,Object Detected,28.34
2025-06-17 12:48:17,382.76,No Object,28.25
2025-06-17 12:48:18,383.2,No Object,28.16
2025-06-17 12:48:18,383.59,No Object,28.16
2025-06-17 12:48:19,383.93,No Object,28.07
2025-06-17 12:48:19,384.81,No Object,27.98
2025-06-17 12:48:20,384.23,No Object,27.89
2025-06-17 12:48:20,789.41,No Object,27.8
2025-06-17 12:48:21,289.07,No Object,27.8
2025-06-17 12:48:21,288.27,No Object,27.71
2025-06-17 12:48:22,385.22,No Object,27.71
2025-06-17 12:48:22,383.93,No Object,27.62
2025-06-17 12:48:23,290.38,No Object,27.53
2025-06-17 12:48:23,288.63,No Object,27.53
2025-06-17 12:48:24,383.88,No Object,27.44
2025-06-17 12:48:25,789.41,No Object,27.35
2025-06-17 12:48:25,384.51,No Object,27.35
2025-06-17 12:48:26,789.46,No Object,27.26
2025-06-17 12:48:26,384.98,No Object,27.26
2025-06-17 12:48:27,385.68,No Object,27.17
2025-06-17 12:48:27,383.4,No Object,27.17
2025-06-17 12:48:28,384.69,No Object,27.08
2025-06-17 12:48:28,384.27,No Object,27.08
2025-06-17 12:48:29,383.49,No Object,26.99
2025-06-17 12:48:29,382.99,No Object,26.99
2025-06-17 12:48:30,289.14,No Object,26.91
2025-06-17 12:48:30,288.2,No Object,26.91
2025-06-17 12:48:31,384.25,No Object,26.82
2025-06-17 12:48:31,383.44,No Object,26.82
2025-06-17 12:48:32,288.22,No Object,26.82
2025-06-17 12:48:32,288.18,No Object,26.73
2025-06-17 12:48:33,288.73,No Object,26.73
2025-06-17 12:48:34,289.0,No Object,26.64
2025-06-17 12:48:34,288.98,No Object,26.64
2025-06-17 12:48:35,288.56,No Object,26.55
2025-06-17 12:48:35,288.64,No Object,26.55
2025-06-17 12:48:36,385.39,No Object,26.55
2025-06-17 12:48:36,789.4,No Object,26.46
2025-06-17 12:48:37,384.73,No Object,26.46
2025-06-17 12:48:37,385.39,No Object,26.46
2025-06-17 12:48:38,385.53,No Object,26.46
2025-06-17 12:48:38,385.9,No Object,26.37
2025-06-17 12:48:39,384.68,No Object,26.37
2025-06-17 12:48:39,384.2,No Object,26.37
2025-06-17 12:48:40,384.69,No Object,26.37
2025-06-17 12:48:40,383.88,No Object,26.28
2025-06-17 12:48:41,384.69,No Object,26.28
2025-06-17 12:48:41,289.09,No Object,26.28
2025-06-17 12:48:42,289.53,No Object,26.28
2025-06-17 12:48:43,383.44,No Object,26.19
2025-06-17 12:48:43,789.33,No Object,26.19
2025-06-17 12:48:44,384.34,No Object,26.19
2025-06-17 12:48:44,385.22,No Object,26.19
2025-06-17 12:48:45,383.13,No Object,26.19
2025-06-17 12:48:45,289.49,No Object,26.1
2025-06-17 12:48:46,383.45,No Object,26.1
2025-06-17 12:48:46,383.86,No Object,26.1
2025-06-17 12:48:47,384.64,No Object,26.1
2025-06-17 12:48:47,789.41,No Object,26.1
2025-06-17 12:48:48,384.18,No Object,26.1
2025-06-17 12:48:48,383.66,No Object,26.02
2025-06-17 12:48:49,385.03,No Object,26.02
2025-06-17 12:48:49,385.05,No Object,26.02
2025-06-17 12:48:50,384.23,No Object,26.02
2025-06-17 12:48:50,383.86,No Object,26.02
2025-06-17 12:48:51,384.13,No Object,26.02
2025-06-17 12:48:52,289.1,No Object,25.93
2025-06-17 12:48:52,289.03,No Object,25.93
2025-06-17 12:48:53,288.58,No Object,25.93
2025-06-17 12:48:53,289.56,No Object,25.93
2025-06-17 12:48:54,383.81,No Object,25.93
2025-06-17 12:48:54,383.11,No Object,25.93
2025-06-17 12:48:55,383.47,No Object,25.93
2025-06-17 12:48:55,384.27,No Object,25.93
2025-06-17 12:48:56,288.98,No Object,25.84
2025-06-17 12:48:56,383.89,No Object,25.84
2025-06-17 12:48:57,384.68,No Object,25.84
2025-06-17 12:48:57,789.33,No Object,25.84
2025-06-17 12:48:58,385.07,No Object,25.84
2025-06-17 12:48:58,383.81,No Object,25.84
2025-06-17 12:48:59,384.57,No Object,25.84
2025-06-17 12:48:59,384.22,No Object,25.84
2025-06-17 12:49:00,383.44,No Object,25.75
2025-06-17 12:49:01,383.01,No Object,25.75
2025-06-17 12:49:01,383.03,No Object,25.75
2025-06-17 12:49:02,382.6,No Object,25.75
2025-06-17 12:49:02,383.33,No Object,25.75
2025-06-17 12:49:03,383.04,No Object,25.75
2025-06-17 12:49:03,383.03,No Object,25.75
2025-06-17 12:49:04,384.25,No Object,25.75
2025-06-17 12:49:04,384.22,No Object,25.75
2025-06-17 12:49:05,383.71,No Object,25.75
2025-06-17 12:49:05,383.38,No Object,25.75
2025-06-17 12:49:06,383.81,No Object,25.75
2025-06-17 12:49:06,384.57,No Object,25.75
2025-06-17 12:49:07,383.81,No Object,25.75
2025-06-17 12:49:07,382.99,No Object,25.66
2025-06-17 12:49:08,382.93,No Object,25.66
2025-06-17 12:49:08,383.04,No Object,25.66
2025-06-17 12:49:09,383.4,No Object,25.66
2025-06-17 12:49:09,384.27,No Object,25.66
2025-06-17 12:49:10,384.23,No Object,25.66
2025-06-17 12:49:11,383.38,No Object,25.66
2025-06-17 12:49:11,382.86,No Object,25.66
2025-06-17 12:49:12,384.69,No Object,25.66
2025-06-17 12:49:12,789.45,No Object,25.66
2025-06-17 12:49:13,383.72,No Object,25.66
2025-06-17 12:49:13,289.17,No Object,25.66
2025-06-17 12:49:14,288.63,No Object,25.66
2025-06-17 12:49:14,289.02,No Object,25.66
2025-06-17 12:49:15,289.07,No Object,25.66
