Timestamp,Distance (cm),IR Status,Temperature
2025-06-17 13:11:17,287.2,No Object,26.1
2025-06-17 13:11:17,287.11,No Object,26.1
2025-06-17 13:11:17,287.1,No Object,26.1
2025-06-17 13:11:17,287.2,No Object,26.1
2025-06-17 13:11:17,286.71,No Object,26.1
2025-06-17 13:11:17,286.82,No Object,26.1
2025-06-17 13:11:18,286.26,No Object,26.1
2025-06-17 13:11:19,286.79,No Object,26.1
2025-06-17 13:11:19,286.71,No Object,26.1
2025-06-17 13:11:20,286.26,No Object,26.1
2025-06-17 13:11:20,286.82,No Object,26.1
2025-06-17 13:11:21,286.72,No Object,26.1
2025-06-17 13:11:21,287.22,No Object,26.1
2025-06-17 13:11:22,287.5,No Object,26.1
2025-06-17 13:11:22,286.79,No Object,26.1
2025-06-17 13:11:23,286.72,No Object,26.1
2025-06-17 13:11:23,287.54,No Object,26.1
2025-06-17 13:11:24,287.2,No Object,26.1
2025-06-17 13:11:24,287.08,No Object,26.1
2025-06-17 13:11:25,286.74,Object Detected,26.1
2025-06-17 13:11:25,286.65,Object Detected,26.1
2025-06-17 13:11:26,287.08,Object Detected,26.1
2025-06-17 13:11:26,286.74,Object Detected,26.1
2025-06-17 13:11:27,287.06,Object Detected,26.1
2025-06-17 13:11:27,286.77,Object Detected,26.1
2025-06-17 13:11:28,287.18,Object Detected,26.1
2025-06-17 13:11:28,287.06,Object Detected,26.1
2025-06-17 13:11:29,286.74,No Object,26.1
2025-06-17 13:11:30,287.49,No Object,26.1
2025-06-17 13:11:30,286.69,No Object,26.1
2025-06-17 13:11:31,287.18,No Object,26.1
2025-06-17 13:11:31,287.06,No Object,26.1
2025-06-17 13:11:32,287.16,No Object,26.1
2025-06-17 13:11:32,287.05,No Object,26.1
2025-06-17 13:11:33,286.77,No Object,26.1
2025-06-17 13:11:33,286.64,No Object,26.1
2025-06-17 13:11:34,287.06,No Object,26.1
2025-06-17 13:11:34,287.18,No Object,26.1
2025-06-17 13:11:35,286.65,No Object,26.1
2025-06-17 13:11:35,287.18,No Object,26.1
2025-06-17 13:11:36,286.65,No Object,26.19
2025-06-17 13:11:36,286.67,No Object,26.19
2025-06-17 13:11:37,287.18,No Object,26.19
2025-06-17 13:11:37,287.06,No Object,26.19
2025-06-17 13:11:38,287.18,No Object,26.1
2025-06-17 13:11:38,286.64,No Object,26.1
2025-06-17 13:11:39,286.76,No Object,26.19
2025-06-17 13:11:39,287.06,No Object,26.19
2025-06-17 13:11:40,287.06,No Object,26.1
2025-06-17 13:11:40,287.18,No Object,26.19
2025-06-17 13:11:41,286.71,Object Detected,26.19
2025-06-17 13:11:42,287.16,Object Detected,26.19
2025-06-17 13:11:42,287.06,No Object,26.1
2025-06-17 13:11:43,286.65,No Object,26.1
2025-06-17 13:11:43,287.2,No Object,26.19
2025-06-17 13:11:44,8.98,No Object,26.19
2025-06-17 13:11:44,4.54,No Object,26.19
2025-06-17 13:11:45,3.57,No Object,26.1
2025-06-17 13:11:45,5.17,No Object,26.19
2025-06-17 13:11:46,9.3,No Object,26.19
2025-06-17 13:11:46,3.26,No Object,26.19
2025-06-17 13:11:47,10.08,No Object,26.19
2025-06-17 13:11:47,6.68,No Object,26.19
2025-06-17 13:11:48,286.76,No Object,26.19
2025-06-17 13:11:48,287.08,No Object,26.19
2025-06-17 13:11:49,286.76,No Object,26.19
2025-06-17 13:11:49,287.47,No Object,26.19
2025-06-17 13:11:50,287.16,No Object,26.19
2025-06-17 13:11:50,287.06,No Object,26.19
2025-06-17 13:11:51,287.08,No Object,26.19
2025-06-17 13:11:51,287.16,No Object,26.19
