Timestamp,Distance (cm),IR Status,Temperature
2025-06-24 14:40:25,0.0,No Object,13.09
2025-06-24 14:40:26,0.0,No Object,19.83
2025-06-24 14:40:27,0.0,No Object,19.66
2025-06-24 14:40:28,0.0,No Object,19.49
2025-06-24 14:40:29,0.0,No Object,19.49
2025-06-24 14:40:30,0.0,No Object,19.4
2025-06-24 14:40:32,0.0,No Object,19.32
2025-06-24 14:40:33,0.0,No Object,19.32
2025-06-24 14:40:34,0.0,No Object,19.23
2025-06-24 14:40:35,0.0,No Object,19.32
2025-06-24 14:40:36,0.0,No Object,19.32
2025-06-24 14:41:05,0.0,No Object,12.04
2025-06-24 14:41:05,0.0,No Object,18.97
2025-06-24 14:41:05,0.0,No Object,19.06
2025-06-24 14:41:05,0.0,No Object,19.23
2025-06-24 14:41:05,0.0,No Object,19.4
2025-06-24 14:41:06,0.0,No Object,19.32
2025-06-24 14:41:07,0.0,No Object,19.32
2025-06-24 14:41:08,0.0,No Object,19.32
2025-06-24 14:41:10,0.0,No Object,19.32
2025-06-24 14:41:11,0.0,No Object,19.4
2025-06-24 14:41:12,0.0,No Object,19.23
2025-06-24 14:41:13,0.0,No Object,19.14
2025-06-24 14:41:14,0.0,No Object,18.97
2025-06-24 14:41:15,0.0,No Object,18.8
2025-06-24 14:41:17,0.0,No Object,18.54
2025-06-24 14:41:53,0.0,No Object,12.74
2025-06-24 14:41:53,0.0,No Object,19.4
2025-06-24 14:41:53,0.0,No Object,19.4
2025-06-24 14:41:53,0.0,No Object,19.4
2025-06-24 14:41:54,0.0,No Object,19.23
2025-06-24 14:41:55,0.0,No Object,19.06
2025-06-24 14:41:56,0.0,No Object,18.8
2025-06-24 14:41:58,0.0,No Object,18.63
2025-06-24 14:41:59,0.0,No Object,18.54
2025-06-24 14:42:00,0.0,No Object,18.71
2025-06-24 14:42:01,0.0,No Object,19.06
2025-06-24 14:42:02,0.0,No Object,19.4
